Casenum,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,DebtRatio,NumberOfOpenCreditLinesAndLoans,NumberOfDependents
1,1,0.766126609,0.802982129,13,2
2,0,0.957151019,0.121876201,4,1
3,0,0.65818014,0.085113375,2,0
4,0,0.233809776,0.036049682,5,0
5,0,0.9072394,0.024925695,7,0
6,0,0.213178682,0.375606969,3,1
7,0,0.305682465,5710,8,0
8,0,0.754463648,0.209940017,8,0
9,0,0.116950644,46,2,NA
10,0,0.189169052,0.606290901,9,2
11,0,0.644225962,0.30947621,5,0
12,0,0.01879812,0.53152876,7,2
13,0,0.010351857,0.298354075,13,2
14,1,0.964672555,0.382964747,9,2
15,0,0.019656581,477,6,0
16,0,0.548458062,0.209891754,7,2
17,0,0.061086118,2058,10,0
18,0,0.166284079,0.18827406,7,0
19,0,0.221812771,0.527887839,7,2
20,0,0.602794411,0.065868263,2,0
21,0,0.200923382,0.430046338,10,0
22,1,0.025655677,0.475841386,7,2
23,0,0.9999999,0.241103559,4,0
24,0,0.075426584,0.085512189,6,0
25,0,0.04656027,0.241621845,9,0
26,1,0.392248482,1.595253368,14,1
27,0,0.052436094,0.097672186,22,0
28,0,0.034421473,0.042383047,17,1
29,0,0.452515828,0.011761247,1,0
30,0,0.392994586,0.436102527,15,0
31,0,0.704073982,0.155201143,8,0
32,0,0.9999999,0.472703063,1,0
33,0,0.083418009,977,6,0
34,0,0.186868556,0.313812313,9,0
35,0,0.693329681,0.257731959,7,0
36,0,0,0.073538769,9,0
37,0,0.881836362,0.567858035,9,1
38,0,0.9999999,0.134078212,1,1
39,0,0.363636364,0.00999001,1,0
40,0,0.304490668,0.808340474,10,0
41,0,0.71998531,0.539554464,14,0
42,0,0.07289757,75,7,0
43,0,0.469056842,0.048211004,4,1
44,0,0.718705378,0.170125614,4,1
45,0,0.368875933,1687.5,31,0
46,0,0.000602723,0.177787036,12,2
47,0,0.061440132,0.011167837,2,0
48,0,0.140110634,0.689370485,4,0
49,0,0.834048027,0.393662026,13,2
50,0,7.96E-05,0.256339661,21,0
51,0,0.818977517,3095,9,0
52,1,0.728150491,0.824725092,10,1
53,0,0.9999999,0,1,0
54,0,0.028562367,0.306381499,5,0
55,0,0.992015968,0.008064516,1,0
56,0,0.070853769,0.073147745,4,0
57,0,0.454971915,0.016921775,10,1
58,0,0.401199782,0.351258937,4,0
59,0,0.541108804,2477,3,2
60,0,0.655569945,0.261609907,10,2
61,0,0.651603452,0.241135663,11,0
62,0,0.027399502,0.00803428,3,0
63,0,0.101155821,1720,12,0
64,0,0.009788862,1.051397656,6,2
65,0,0.337520702,0.549877805,10,0
66,0,0,0.540983607,2,0
67,0,0.750873672,0.316416365,17,1
68,0,0.006799093,0.681045752,3,0
69,0,0.004264079,0.111444278,6,2
70,0,0.26948375,0.16106176,13,3
71,0,0.265898391,0.262611807,6,1
72,0,0.142013011,1824,7,0
73,0,0.827708197,0.369590815,15,0
74,0,0.059668871,3162,11,1
75,1,0.13306279,0.182881653,9,3
76,0,0.234218112,0.116614347,19,3
77,0,0.122295933,0.694646949,5,0
78,0,0.460376317,0.074155949,6,0
79,0,0.335558577,0.270448637,14,1
80,0,0.270522569,2.797698945,11,2
81,0,0.183316667,0.111131623,14,1
82,0,0.074861676,0.208842479,3,0
83,0,0.017258977,2.604510673,13,2
84,0,0.054497069,0.492021814,18,0
85,0,0.029164236,0.395031809,10,0
86,0,0,0.316144874,9,1
87,0,0.360509632,3282,8,0
88,0,0.003749688,0.004061231,5,0
89,1,0.734477501,0.591477634,13,2
90,0,0.080564168,0.487288997,15,0
91,0,0.039387786,15466,7,0
92,0,0.023767433,0.123797734,13,0
93,0,0.784835658,2662,10,0
94,0,0.888822236,0.368403802,4,1
95,0,0.791173628,0.51241535,5,0
96,0,0.24535301,0.288417167,11,0
97,0,0.542242704,10,2,NA
98,0,0.010531379,0.280664917,6,0
99,0,0.363199686,0.480523957,4,0
100,0,0.032617977,0.006799093,4,0
101,0,0.013024674,15,4,0
102,0,0.019387779,0.32591852,9,0
103,0,0.634485057,0.138238573,2,0
104,0,0.888008615,0.299246282,8,1
105,0,0.003108849,0.258939285,7,0
106,0,0.114830941,0.026235802,6,3
107,0,0.018886792,0.003478779,5,0
108,0,0.635415157,0.519493502,4,1
109,0,0.9999999,0.664221287,8,0
110,0,0.041257909,4739,11,NA
111,0,0.096737158,0.009748781,2,2
